file,...1,Guilty,Nolo Contendere,Not Guilty,Tried In Absentia,Alford
/home/rstudio/courtdata/circuit_criminal_2000_anon_00.csv,108714,18525,490,7830,940,0
/home/rstudio/courtdata/circuit_criminal_2001_anon_00.csv,116978,18822,533,8212,880,2
/home/rstudio/courtdata/circuit_criminal_2002_anon_00.csv,121444,19143,631,7669,712,0
/home/rstudio/courtdata/circuit_criminal_2003_anon_00.csv,121543,20286,622,7508,706,0
/home/rstudio/courtdata/circuit_criminal_2004_anon_00.csv,126772,22706,863,7652,810,0
/home/rstudio/courtdata/circuit_criminal_2005_anon_00.csv,127182,22268,757,7163,841,0
/home/rstudio/courtdata/circuit_criminal_2006_anon_00.csv,137348,23938,860,7593,827,0
/home/rstudio/courtdata/circuit_criminal_2007_anon_00.csv,142689,24775,1036,8085,848,0
/home/rstudio/courtdata/circuit_criminal_2008_anon_00.csv,144209,23823,1065,8409,694,0
/home/rstudio/courtdata/circuit_criminal_2009_anon_00.csv,140460,23666,1216,7465,636,0
/home/rstudio/courtdata/circuit_criminal_2010_anon_00.csv,135696,23872,1770,6978,710,1
/home/rstudio/courtdata/circuit_criminal_2011_anon_00.csv,135636,24669,1893,6866,798,2
/home/rstudio/courtdata/circuit_criminal_2012_anon_00.csv,139864,24125,2161,6472,685,533
/home/rstudio/courtdata/circuit_criminal_2013_anon_00.csv,143465,24932,2261,6269,594,690
/home/rstudio/courtdata/circuit_criminal_2014_anon_00.csv,146158,24825,2188,5805,538,692
/home/rstudio/courtdata/circuit_criminal_2015_anon_00.csv,137449,27130,2739,5588,612,841
/home/rstudio/courtdata/circuit_criminal_2016_anon_00.csv,140647,25935,3128,5220,534,728
/home/rstudio/courtdata/circuit_criminal_2017_anon_00.csv,144710,27103,3855,5079,549,762
/home/rstudio/courtdata/circuit_criminal_2018_anon_00.csv,149496,28795,4024,5041,624,877
/home/rstudio/courtdata/circuit_criminal_2019_anon_00.csv,182698,30774,4279,5158,523,826
/home/rstudio/courtdata/district_criminal_2007_anon_00.csv,6926,585,57,717,564,0
/home/rstudio/courtdata/district_criminal_2008_anon_00.csv,6739,238,31,102,59,0
/home/rstudio/courtdata/district_criminal_2009_anon_00.csv,205458,18019,1294,5316,19913,0
/home/rstudio/courtdata/district_criminal_2009_anon_01.csv,184118,22180,2459,13318,27925,0
/home/rstudio/courtdata/district_criminal_2009_anon_02.csv,186616,22976,2979,16719,20710,0
/home/rstudio/courtdata/district_criminal_2009_anon_03.csv,206171,15367,3134,7426,17902,0
/home/rstudio/courtdata/district_criminal_2009_anon_04.csv,190519,25535,2882,6048,25016,0
/home/rstudio/courtdata/district_criminal_2009_anon_05.csv,215659,17455,1842,3824,11220,0
/home/rstudio/courtdata/district_criminal_2009_anon_06.csv,226238,10335,1142,5444,6841,0
/home/rstudio/courtdata/district_criminal_2009_anon_07.csv,225663,8565,1443,3233,11096,0
/home/rstudio/courtdata/district_criminal_2009_anon_08.csv,218354,13418,2305,7209,8714,0
/home/rstudio/courtdata/district_criminal_2009_anon_09.csv,175982,11866,1998,6467,9734,0
/home/rstudio/courtdata/district_criminal_2010_anon_00.csv,221343,9348,1184,4911,13214,0
/home/rstudio/courtdata/district_criminal_2010_anon_01.csv,209634,11858,1446,6583,20479,0
/home/rstudio/courtdata/district_criminal_2010_anon_02.csv,188472,23199,3162,17946,17221,0
/home/rstudio/courtdata/district_criminal_2010_anon_03.csv,212898,15948,2394,9594,9166,0
/home/rstudio/courtdata/district_criminal_2010_anon_04.csv,210419,14333,2722,8772,13754,0
/home/rstudio/courtdata/district_criminal_2010_anon_05.csv,224934,10100,1171,6873,6922,0
/home/rstudio/courtdata/district_criminal_2010_anon_06.csv,216294,14654,2124,4785,12143,0
/home/rstudio/courtdata/district_criminal_2010_anon_07.csv,214111,11593,3292,7836,13168,0
/home/rstudio/courtdata/district_criminal_2010_anon_08.csv,176209,28442,3777,8770,32802,0
/home/rstudio/courtdata/district_criminal_2010_anon_09.csv,82269,22681,2381,5115,27497,0
/home/rstudio/courtdata/district_criminal_2011_anon_00.csv,211028,12965,1413,10038,14556,0
/home/rstudio/courtdata/district_criminal_2011_anon_01.csv,212779,14301,2055,5134,15731,0
/home/rstudio/courtdata/district_criminal_2011_anon_02.csv,189534,17774,3608,12603,26481,0
/home/rstudio/courtdata/district_criminal_2011_anon_03.csv,183933,25963,4399,14470,21235,0
/home/rstudio/courtdata/district_criminal_2011_anon_04.csv,206996,17750,2368,6167,16719,0
/home/rstudio/courtdata/district_criminal_2011_anon_05.csv,193681,21724,3292,7708,23595,0
/home/rstudio/courtdata/district_criminal_2011_anon_06.csv,197887,20516,3537,9746,18314,0
/home/rstudio/courtdata/district_criminal_2011_anon_07.csv,204790,17257,3992,9884,14077,0
/home/rstudio/courtdata/district_criminal_2011_anon_08.csv,221984,10865,1787,6677,8687,0
/home/rstudio/courtdata/district_criminal_2011_anon_09.csv,38219,7676,145,1661,7511,0
/home/rstudio/courtdata/district_criminal_2012_anon_00.csv,219208,13236,3438,7530,6588,0
/home/rstudio/courtdata/district_criminal_2012_anon_01.csv,201362,18409,3403,9983,16843,0
/home/rstudio/courtdata/district_criminal_2012_anon_02.csv,178120,22864,4459,16284,28273,0
/home/rstudio/courtdata/district_criminal_2012_anon_03.csv,214389,10076,2511,8741,14283,0
/home/rstudio/courtdata/district_criminal_2012_anon_04.csv,196955,19395,3931,7434,22285,0
/home/rstudio/courtdata/district_criminal_2012_anon_05.csv,219023,14587,2325,4259,9806,0
/home/rstudio/courtdata/district_criminal_2012_anon_06.csv,211258,13708,2477,7547,15010,0
/home/rstudio/courtdata/district_criminal_2012_anon_07.csv,210159,15052,1715,12547,10527,0
/home/rstudio/courtdata/district_criminal_2012_anon_08.csv,152214,36107,4423,7900,42952,0
/home/rstudio/courtdata/district_criminal_2013_anon_00.csv,212281,13804,1739,9003,13173,0
/home/rstudio/courtdata/district_criminal_2013_anon_01.csv,216395,12627,2253,4846,13879,0
/home/rstudio/courtdata/district_criminal_2013_anon_02.csv,219045,12032,2109,3956,12858,0
/home/rstudio/courtdata/district_criminal_2013_anon_03.csv,207543,13727,2223,13737,12770,0
/home/rstudio/courtdata/district_criminal_2013_anon_04.csv,213005,15009,4158,10106,7722,0
/home/rstudio/courtdata/district_criminal_2013_anon_05.csv,201462,16622,2933,10470,18513,0
/home/rstudio/courtdata/district_criminal_2013_anon_06.csv,188949,19497,4662,13268,23624,0
/home/rstudio/courtdata/district_criminal_2013_anon_07.csv,185807,25183,5419,8887,24704,0
/home/rstudio/courtdata/district_criminal_2013_anon_08.csv,135627,29446,4633,6264,35251,0
/home/rstudio/courtdata/district_criminal_2014_anon_00.csv,213705,15270,2080,5360,13585,0
/home/rstudio/courtdata/district_criminal_2014_anon_01.csv,223600,13295,2876,3463,6766,0
/home/rstudio/courtdata/district_criminal_2014_anon_02.csv,209764,13047,3428,9178,14583,0
/home/rstudio/courtdata/district_criminal_2014_anon_03.csv,205472,17018,1846,12409,13255,0
/home/rstudio/courtdata/district_criminal_2014_anon_04.csv,196514,21173,5162,12692,14459,0
/home/rstudio/courtdata/district_criminal_2014_anon_05.csv,187771,20229,6504,8473,27023,0
/home/rstudio/courtdata/district_criminal_2014_anon_06.csv,174583,23966,4782,16300,30369,0
/home/rstudio/courtdata/district_criminal_2014_anon_07.csv,198277,16750,3230,11264,20479,0
/home/rstudio/courtdata/district_criminal_2014_anon_08.csv,106232,12433,2112,2715,14344,0
/home/rstudio/courtdata/district_criminal_2015_anon_00.csv,221717,11635,2559,4715,9374,0
/home/rstudio/courtdata/district_criminal_2015_anon_01.csv,218174,11624,3824,5045,11333,0
/home/rstudio/courtdata/district_criminal_2015_anon_02.csv,199038,17642,3896,14721,14703,0
/home/rstudio/courtdata/district_criminal_2015_anon_03.csv,210681,16986,3785,8876,9672,0
/home/rstudio/courtdata/district_criminal_2015_anon_04.csv,197672,15269,3996,12990,20073,0
/home/rstudio/courtdata/district_criminal_2015_anon_05.csv,191016,20694,4144,9443,24703,0
/home/rstudio/courtdata/district_criminal_2015_anon_06.csv,189875,19734,5615,11622,23154,0
/home/rstudio/courtdata/district_criminal_2015_anon_07.csv,164598,22387,5710,5185,27457,0
/home/rstudio/courtdata/district_criminal_2016_anon_00.csv,222613,7842,1978,7791,9776,0
/home/rstudio/courtdata/district_criminal_2016_anon_01.csv,222644,10083,3871,4134,9268,0
/home/rstudio/courtdata/district_criminal_2016_anon_02.csv,216072,10268,2862,10615,10183,0
/home/rstudio/courtdata/district_criminal_2016_anon_03.csv,208521,11454,2498,9526,18001,0
/home/rstudio/courtdata/district_criminal_2016_anon_04.csv,215993,10227,3173,8193,12414,0
/home/rstudio/courtdata/district_criminal_2016_anon_05.csv,189309,23750,5593,5533,25815,0
/home/rstudio/courtdata/district_criminal_2016_anon_06.csv,164662,30232,7233,9339,38534,0
/home/rstudio/courtdata/district_criminal_2016_anon_07.csv,58865,16585,3880,6988,15856,0
/home/rstudio/courtdata/district_criminal_2017_anon_00.csv,229931,5847,1431,3180,9611,0
/home/rstudio/courtdata/district_criminal_2017_anon_01.csv,222870,10296,3150,2778,10906,0
/home/rstudio/courtdata/district_criminal_2017_anon_02.csv,214738,11975,3192,5336,14759,0
/home/rstudio/courtdata/district_criminal_2017_anon_03.csv,203743,17896,3392,7619,17350,0
/home/rstudio/courtdata/district_criminal_2017_anon_04.csv,204599,14519,2839,8812,19231,0
/home/rstudio/courtdata/district_criminal_2017_anon_05.csv,190761,21086,6772,13243,18138,0
/home/rstudio/courtdata/district_criminal_2017_anon_06.csv,189071,19458,6171,9338,25962,0
/home/rstudio/courtdata/district_criminal_2017_anon_07.csv,93356,18616,6172,7228,28881,0
/home/rstudio/courtdata/district_criminal_2018_anon_00.csv,231917,5416,1512,4774,6381,0
/home/rstudio/courtdata/district_criminal_2018_anon_01.csv,214251,11209,4428,3341,16771,0
/home/rstudio/courtdata/district_criminal_2018_anon_02.csv,216734,10366,3230,5678,13992,0
/home/rstudio/courtdata/district_criminal_2018_anon_03.csv,215871,11928,2692,6390,13119,0
/home/rstudio/courtdata/district_criminal_2018_anon_04.csv,219561,10256,1770,7529,10884,0
/home/rstudio/courtdata/district_criminal_2018_anon_05.csv,180027,25193,5800,13087,25893,0
/home/rstudio/courtdata/district_criminal_2018_anon_06.csv,166135,26294,8585,13191,35795,0
/home/rstudio/courtdata/district_criminal_2018_anon_07.csv,75795,14296,5657,3247,22942,0
/home/rstudio/courtdata/district_criminal_2019_anon_00.csv,194303,16511,4734,11738,22714,0
/home/rstudio/courtdata/district_criminal_2019_anon_01.csv,217261,10685,3341,3902,14811,0
/home/rstudio/courtdata/district_criminal_2019_anon_02.csv,214020,13072,3939,3696,15273,0
/home/rstudio/courtdata/district_criminal_2019_anon_03.csv,198640,17539,5161,9897,18763,0
/home/rstudio/courtdata/district_criminal_2019_anon_04.csv,194992,16199,5083,5932,27794,0
/home/rstudio/courtdata/district_criminal_2019_anon_05.csv,201428,14657,4819,7475,21621,0
/home/rstudio/courtdata/district_criminal_2019_anon_06.csv,202516,15200,5009,5713,21562,0
/home/rstudio/courtdata/district_criminal_2019_anon_07.csv,162078,10148,3132,5642,16066,0
